date,open,high,low,close,volume
2017-03-24,118.5,119.21,118.39,118.84,5123697
2017-03-27,119.93,120.08,119.27,119.53,6440759
2017-03-28,119.74,119.83,118.78,119.04,5895124
2017-03-29,119.22,119.45,119.047,119.3,3310475
2017-03-30,118.77,119.12,118.32,118.46,5207412
2017-03-31,118.61,119.08,118.46,118.73,5800047
2017-04-03,118.69,119.37,118.67,119.33,5259285
2017-04-04,119.59,119.77,119.38,119.62,3313593
2017-04-05,118.62,119.63,118.4,119.62,6834291
2017-04-06,119.22,119.42,118.975,119.17,3764795
2017-04-07,120.3,120.67,119.14,119.45,10737506
2017-04-10,119.02,119.69,118.85,119.44,4028874
2017-04-11,120.33,121.4,120.29,121.16,10728615
2017-04-12,121.38,122.22,121.14,122.02,8261213
2017-04-13,122.54,122.65,122.03,122.63,7605220
2017-04-17,122.55,123.07,121.99,122.22,6808296
2017-04-18,122.43,123.0292,121.73,122.81,9534367
2017-04-19,122.27,122.27,121.28,121.74,6558077
2017-04-20,121.82,122.17,121.5,121.94,8750757
2017-04-21,122.14,122.61,121.73,122.29,12001418
2017-04-24,120.77,121.51,120.6601,121.46,9029877
2017-04-25,120.53,120.87,120.05,120.25,8740346
2017-04-26,120.23,120.96,119.87,120.82,7183548
2017-04-27,120.42,120.5975,119.97,120.37,6719131
2017-04-28,120.34,120.76,120.27,120.75,6103077
2017-05-01,120.21,120.75,119.35,119.66,7929501
2017-05-02,119.3,119.65,119.24,119.63,4198265
2017-05-03,119.18,119.34,117.92,117.97,8782328
2017-05-04,116.81,117.28,116.63,116.81,10323436
2017-05-05,116.86,117.07,116.68,117.0,5074232
2017-05-08,117.03,117.14,116.68,116.77,3054387
2017-05-09,116.18,116.24,115.56,116.08,5619278
2017-05-10,116.42,116.4999,115.86,116.05,3094609
2017-05-11,116.21,116.845,116.185,116.48,5065364
2017-05-12,117.07,117.16,116.73,116.81,4026770
2017-05-15,117.52,117.54,116.99,117.15,3446663
2017-05-16,117.45,117.91,117.4,117.66,3549305
2017-05-17,119.36,120.02,119.27,119.8,12182370
2017-05-18,119.77,119.84,118.56,118.82,8196025
2017-05-19,119.39,119.545,118.88,119.41,5632797
2017-05-22,119.63,120.14,119.58,119.8953,3981207
2017-05-23,120.13,120.19,118.9841,119.11,5993930
2017-05-24,119.07,119.7425,118.915,119.63,5680756
2017-05-25,119.52,119.695,119.29,119.5,3103635
2017-05-26,120.49,120.79,120.33,120.55,5243931
2017-05-30,120.24,120.33,119.95,120.15,3515511
2017-05-31,120.31,121.23,120.26,120.62,7322702
2017-06-01,120.17,120.74,120.06,120.66,5770680
2017-06-02,121.31,121.71,121.19,121.61,5556753
2017-06-05,121.91,121.94,121.58,121.73,2902974
2017-06-06,123.09,123.31,122.77,123.11,7797844
2017-06-07,122.79,123.16,122.015,122.46,6719006
2017-06-08,122.07,122.07,120.95,121.65,6733460
2017-06-09,120.45,120.91,120.4,120.56,6081994
2017-06-12,120.33,120.685,120.265,120.34,4168566
2017-06-13,119.95,120.71,119.92,120.5,3176736
2017-06-14,121.52,121.88,119.57,119.85,16762765
2017-06-15,119.22,119.5,119.1275,119.32,5442718
2017-06-16,119.35,119.5,119.24,119.31,3540899
2017-06-19,118.74,118.84,118.33,118.41,5439256
2017-06-20,118.42,118.46,118.07,118.19,3419208
2017-06-21,118.15,118.66,118.15,118.54,3534885
2017-06-22,119.13,119.1978,118.6,118.92,5045674
2017-06-23,119.65,119.66,119.31,119.44,6557565
2017-06-26,118.29,118.535,118.17,118.36,5093456
2017-06-27,118.87,119.05,118.481,118.79,4165162
2017-06-28,119.06,119.06,118.685,118.91,3210870
2017-06-29,117.97,118.64,117.91,118.32,6396279
2017-06-30,118.08,118.41,117.95,118.03,6001874
2017-07-03,116.54,116.85,115.94,116.04,10277775
2017-07-05,115.91,116.67,115.87,116.54,5597580
2017-07-06,116.58,116.61,116.24,116.46,3636083
2017-07-07,115.78,115.79,114.8,115.27,9410562
2017-07-10,115.02,115.57,114.83,115.46,3970235
2017-07-11,115.26,115.77,114.88,115.64,4087140
2017-07-12,116.21,116.33,115.87,116.01,3578961
2017-07-13,116.04,116.04,115.67,115.82,3624459
2017-07-14,117.04,117.25,116.64,116.78,4059340
2017-07-17,117.42,117.53,117.23,117.29,4097740
2017-07-18,117.99,118.33,117.88,118.09,5886271
2017-07-19,118.18,118.27,117.8363,118.05,2450127
2017-07-20,117.92,118.62,117.66,118.25,4775127
2017-07-21,119.0,119.39,118.751,119.25,8041340
2017-07-24,119.52,119.5762,119.18,119.33,3022444
2017-07-25,118.99,119.32,118.79,118.92,4756182
2017-07-26,118.57,120.15,118.55,119.9,6912324
2017-07-27,120.1,120.14,119.28,119.81,5206957
2017-07-28,120.15,120.8558,120.14,120.7,5868335
2017-07-31,120.5,120.805,120.45,120.73,3145984
2017-08-01,120.44,121.14,120.44,120.64,5511369
2017-08-02,120.51,121.02,120.34,120.42,4736132
2017-08-03,120.31,120.83,120.31,120.59,3301218
2017-08-04,119.97,120.039,119.2201,119.65,6234518
2017-08-07,119.44,119.79,119.43,119.51,2274122
2017-08-08,120.02,120.12,118.97,119.88,5887434
2017-08-09,121.02,121.55,120.76,121.3,7330861
2017-08-10,122.08,122.44,122.03,122.23,7670162
2017-08-11,122.24,122.83,122.03,122.78,6246531
2017-08-14,121.98,122.24,121.6845,121.89,4065078
2017-08-15,120.6,121.2299,120.5828,120.97,4934039
2017-08-16,120.67,122.06,120.66,121.85,6494404
2017-08-17,122.29,122.6099,121.76,122.51,6351738
2017-08-18,123.36,123.54,122.0,122.27,11628518
